index,massinit,Xinit,Yinit,Zinit,fehinit,amlt,fov_core,fov0_core,eta
0,0.81308,0.74005463,0.25556722,0.00437815,-0.48696289,1.539984,0.000856,0.000428,0.427
1,1.96308,0.68689970,0.28746018,0.02564012,0.31303711,2.239984,0.017467,0.008733,0.077
2,2.53808,0.74660401,0.25163760,0.00175840,-0.88696289,2.589984,0.018000,0.009000,0.602
3,1.38808,0.72409922,0.26514047,0.01076031,-0.08696289,1.889984,0.009161,0.004581,0.252
4,1.67558,0.74405659,0.25316604,0.00277736,-0.68696289,2.064984,0.013314,0.006657,0.515
5,2.82558,0.70924005,0.27405597,0.01670398,0.11303711,1.364984,0.018000,0.009000,0.165
6,2.25058,0.73379938,0.25932037,0.00688025,-0.28696289,1.714984,0.018000,0.009000,0.690
7,1.10058,0.65423846,0.30705693,0.03870462,0.51303711,2.414984,0.005008,0.002504,0.340
8,1.24433,0.74750393,0.25109764,0.00139843,-0.98696289,1.977484,0.007085,0.003542,0.121
9,2.39433,0.72947336,0.26191598,0.00861065,-0.18696289,2.677484,0.018000,0.009000,0.471
10,2.96933,0.74227964,0.25423221,0.00348814,-0.58696289,2.327484,0.018000,0.009000,0.296
11,1.81933,0.69917352,0.28009589,0.02073059,0.21303711,1.627484,0.015390,0.007695,0.646
12,1.53183,0.73727240,0.25723656,0.00549104,-0.38696289,2.502484,0.011237,0.005619,0.033
13,2.68183,0.67204737,0.29637158,0.03158105,0.41303711,1.802484,0.018000,0.009000,0.383
14,2.10683,0.74547415,0.25231551,0.00221034,-0.78696289,1.452484,0.018000,0.009000,0.208
15,0.95683,0.71744514,0.26913292,0.01342194,0.01303711,2.152484,0.002932,0.001466,0.558
16,0.88495,0.74480545,0.25271673,0.00247782,-0.73696289,2.633734,0.001894,0.000947,0.668
17,2.03495,0.71355497,0.27146702,0.01497801,0.06303711,1.933734,0.018000,0.009000,0.318
18,2.60995,0.73563165,0.25822101,0.00614734,-0.33696289,1.583734,0.018000,0.009000,0.493
19,1.45995,0.66353567,0.30147860,0.03498573,0.46303711,2.283734,0.010199,0.005100,0.143
20,1.74745,0.74122944,0.25486233,0.00390822,-0.53696289,1.758734,0.014352,0.007176,0.580
21,2.89745,0.69333530,0.28359882,0.02306588,0.26303711,2.458734,0.018000,0.009000,0.230
22,2.32245,0.74707957,0.25135226,0.00156817,-0.93696289,2.108734,0.018000,0.009000,0.405
23,1.17245,0.72693090,0.26344146,0.00962764,-0.13696289,1.408734,0.006047,0.003023,0.055
24,1.02870,0.73175437,0.26054738,0.00769825,-0.23696289,2.196234,0.003970,0.001985,0.186
25,2.17870,0.64411218,0.31313269,0.04275513,0.56303711,1.496234,0.018000,0.009000,0.536
26,2.75370,0.74321815,0.25366911,0.00311274,-0.63696289,1.846234,0.018000,0.009000,0.011
27,1.60370,0.70446033,0.27692380,0.01861587,0.16303711,2.546234,0.012276,0.006138,0.361
